,Pos.,Squadra,Pt,G,V,P,S,GF,GS,DR
,1.,Juventus,91,38,29,4,5,75,20,55
,2.,Napoli,82,38,25,7,6,80,32,48
,3.,Roma,80,38,23,11,4,83,41,42
,4.,Inter,67,38,20,7,11,50,38,12
,5.,Fiorentina,64,38,18,10,10,60,42,18
,6.,Sassuolo,61,38,16,13,9,49,40,9
,7.,Milan,57,38,15,12,11,49,43,6
,8.,Lazio,54,38,15,9,14,52,52,0
,9.,Chievo,50,38,13,11,14,43,45,−2
,10.,Empoli,46,38,12,10,16,40,49,−9
,11.,Genoa,46,38,13,7,18,45,48,−3
,12.,Torino,45,38,12,9,17,52,55,−3
,13.,Atalanta,45,38,11,12,15,41,47,−6
,14.,Bologna,42,38,11,9,18,33,45,−12
,15.,Sampdoria,40,38,10,10,18,48,61,−13
,16.,Palermo,39,38,10,9,19,38,65,−27
,17.,Udinese,39,38,10,9,19,35,60,−25
,18.,Carpi,38,38,9,11,18,37,57,−20
,19.,Frosinone,31,38,8,7,23,35,76,−41
,20.,Verona,28,38,5,13,20,34,63,−29
